1;2760.00;12.90;1627.00;small
1;2791.00;10.30;1635.00;small
2;2763.00;11.78;1676.00;small
2;2734.00;9.50;1640.00;small
3;2735.00;12.32;1721.00;small
3;2720.00;9.50;1756.00;small
4;2663.00;9.55;1650.00;small
4;2684.00;10.55;1678.00;small
5;2882.00;9.73;1601.00;small
5;2900.00;9.60;1634.00;small
6;2932.00;10.32;1627.00;small
6;2961.00;9.70;1641.00;small
7;2975.00;11.25;1557.00;big
7;2929.00;10.90;1584.00;big
8;3034.00;9.70;1649.00;big
8;3058.00;10.00;1611.00;small
8;2995.00;9.78;1619.00;small
9;3177.00;9.50;1789.00;small
9;3232.00;9.50;1799.00;small
10;3026.00;10.70;1743.00;small
10;3053.00;9.65;1788.00;small
11;2971.00;12.70;1858.00;big
11;2930.00;14.32;1798.00;big
12;3315.00;11.28;2001.00;small
12;3397.00;10.00;1986.00;small
13;3281.00;10.35;1840.00;big
13;3238.00;10.40;1852.00;big
14;3775.00;10.50;1721.00;big
14;3832.00;10.30;1825.00;big
14;3921.00;9.80;1733.00;big
16;2821.00;9.50;1714.00;big
16;2776.00;9.50;1820.00;big
17;3380.00;14.60;862.00;big
18;2754.00;9.50;1582.00;small
18;2836.00;9.50;1619.00;small
19;2850.00;9.80;1560.00;big
19;2896.00;10.43;1546.00;big
20;2887.00;9.73;1478.00;big
20;2826.00;10.00;1471.00;big
21;3023.00;14.18;1529.00;big
21;2945.00;11.60;1504.00;big
22;3025.00;12.32;1575.00;small
22;3073.00;10.55;1573.00;small
22;3117.00;10.03;1553.00;small
23;3045.00;9.88;1393.00;small
23;2991.00;11.10;1452.00;small
24;3067.00;10.93;1481.00;small
24;3127.00;11.38;1439.00;small
25;3224.00;9.75;1411.00;small
25;3152.00;10.45;1376.00;small
26;3232.00;9.85;1525.00;small
26;3227.00;9.70;1476.00;small
26;3187.00;13.43;1443.00;small
27;3096.00;9.80;1521.00;small
27;3170.00;15.30;1516.00;small
28;3477.00;12.28;1297.00;small
28;3520.00;9.70;1233.00;small
28;3413.00;10.55;1293.00;small
29;3029.00;9.50;1312.00;big
29;3121.00;9.50;1301.00;big
30;3359.00;9.50;1453.00;big
30;3260.00;9.50;1446.00;big
31;4029.00;10.98;994.00;big
31;3967.00;11.75;1003.00;big
32;1245.00;9.50;183.00;big
32;1155.00;9.50;474.00;big
33;416.00;13.60;2058.00;big
34;1458.00;9.50;1130.00;big
34;1544.00;9.70;1070.00;big
35;1818.00;10.00;396.00;big
35;1854.00;9.80;331.00;big
36;2413.00;11.82;2155.00;big
36;1992.00;9.50;2132.00;big
37;3214.00;10.30;1753.00;big
37;3171.00;10.40;1708.00;big
38;3123.00;10.82;1593.00;big
38;3129.00;10.23;1657.00;big
38;3083.00;9.80;1636.00;big
39;3220.00;10.40;1660.00;big
39;3190.00;10.60;1585.00;big
39;3172.00;9.90;1638.00;big
40;3652.00;9.80;1773.00;big
40;3550.00;10.20;1757.00;big
40;3633.00;9.90;1689.00;big
40;3535.00;10.20;1681.00;big
41;2777.00;13.48;1389.00;big
41;2818.00;11.28;1423.00;big
41;2767.00;12.93;1430.00;big
42;2735.00;9.50;1501.00;small
42;2670.00;9.50;1471.00;small
43;2643.00;9.50;1590.00;big
43;2610.00;9.50;1729.00;big
44;2294.00;9.50;1995.00;big
44;2414.00;9.50;1916.00;big
45;2650.00;9.50;1997.00;big
45;2877.00;9.50;2003.00;big
46;3186.00;9.50;2087.00;big
46;3464.00;9.50;2003.00;big
47;2588.00;9.50;1411.00;big
47;2532.00;9.50;1305.00;big
48;2527.00;9.50;1111.00;big
48;2616.00;9.50;1236.00;big
49;2431.00;9.50;1570.00;big
49;2307.00;9.50;1735.00;big
50;2078.00;9.50;1829.00;big
50;1867.00;9.50;2042.00;big
51;2191.00;9.50;1537.00;big
51;2321.00;9.50;1396.00;big
52;1351.00;9.50;1319.00;big
53;1848.00;9.50;1159.00;big
53;1606.00;9.50;1239.00;big
54;1778.00;9.50;1634.00;big
54;1701.00;9.50;1556.00;big
55;1875.00;9.50;1757.00;big
55;1868.00;9.50;1647.00;big
56;2034.00;9.50;1525.00;big
56;2089.00;9.50;1367.00;big
57;1863.00;9.50;1497.00;big
